Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Short course and language course , 13th Current Literature – Here's What Germany Reads , Martin Luther University Halle-Wittenberg , Lutherstadt Wittenberg,"German Language and Literature (German, Germanic Languages except English)",German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,87141.6,,,,,27/06/2024,02/06/2024,19/04/2024
Short course and language course , 26th International Summer Academy Sans Souci 2024 | ISAS , University of Potsdam , Potsdam,"German Language and Literature (German, Germanic Languages except English)",German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,90772.5,,,,,30/08/2024,07/08/2024,14/06/2024
Language course , 28th International Summer Academy , Martin Luther University Halle-Wittenberg , Lutherstadt Wittenberg,German Language Course (including Literature and Culture Studies),German,"German: A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,87141.6,,,,,27/06/2024,02/06/2024,19/04/2024
Language course , 32nd International Summer Language School , Osnabrück University of Applied Sciences , Osnabrück,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,107716.7,,,,,16/09/2024,19/08/2024,
Short course and language course , 51st Trier International Summer School: Germany and its Neighbouring Countries 2024 , Trier University , Trier,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,90772.5,,,,,30/08/2024,05/08/2024,15/07/2024
Language course , 6th International Winter Academy , Martin Luther University Halle-Wittenberg , Lutherstadt Wittenberg,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,No,No,Yes,87141.6,,,,,29/02/2024,04/02/2024,05/01/2024
Language course , 75th International Summer Course: Germany Today , Kiel University , Kiel,German Language Course (including Literature and Culture Studies),German,"German: B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,163390.5,,,,,09/08/2024,15/07/2024,15/05/2024
Short course , 7th Solar Winter School , SRH Berlin University of Applied Sciences , Berlin,Engineering in general,English,"English: B2, C1",,No application deadline,,,,No,No,No,No,No,No,Yes,No,114978.5,,,,,10/03/2024,26/02/2024,
PhD / Doctorate , a.r.t.e.s. Graduate School for the Humanities Cologne , University of Cologne , Köln,Languages and Cultural Studies in general,German,,Summer semester,All applicants for the structured doctoral programme must apply by the end of October for the following summer semester. The exact date is …,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Abbe School of Photonics – PhD/Doctoral Programme , Friedrich Schiller University Jena , Jena,"Physics, Astronomy",English,,Any time,Check for current openings on our website www.asp.uni-jena.de/open_positions and apply within the stated deadlines. We also …,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Preparatory course , Academic German Preparation Course Munich: Intensive Courses at the International University Munich , Internationale Hochschule SDI München/International University SDI München , München,,,,,No application deadline,Bachelor | Master | State examination,Languages and Cultural Studies,German,No,No,No,No,No,No,Yes,No,,,,,,,,
Language course , Academic German Year 2024/2025 , University of Passau , Passau,German as an Academic Language,German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,No,No,Yes,482909.7,,,,,,,
Language course ," Academic Life in Leipzig – Autumn Language Course for International Researchers, Doctoral Candidates, and Students ", Leipzig University , Leipzig,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,124055.75,,,,,27/09/2024,02/09/2024,02/08/2024
Short course and language course , Academic Writing in German , Freie Universität Berlin , Berlin,German as an Academic Language,German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,No,Yes,No,No,No,87746.75,,,,,07/03/2024,11/01/2024,14/12/2023
Preparatory course , ACCESS² Preparation Year , Heilbronn University of Applied Sciences , Heilbronn,,,,,No application deadline,Bachelor,"Engineering | Law, Economics and Social Sciences",German | English,No,No,No,No,No,No,No,Yes,,,,,,01/06/2024,01/06/2024,01/06/2024
Master's degree , Actuarial and Financial Mathematics , RPTU University of Kaiserslautern-Landau , Kaiserslautern,Mathematics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course and language course ," Adentrándose a Alemania: Idioma, Cultura y Derechos Humanos ", Catholic University of Eichstätt-Ingolstadt , Ingolstadt,Regional Studies,Spanish,German: A1,,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,,,,28/06/2024,03/06/2024,15/03/2024
Short course , Adult Education Academy: International & Comparative Studies in Adult Education & Lifelong Learning , Julius-Maximilians-Universität Würzburg , Würzburg,Education,English,English: B2,,No application deadline,,,,No,No,No,No,No,Yes,No,No,18880.68,,,,,14/02/2025,03/02/2025,
Master's degree , Advanced and Computational Mathematics – International Master's Programme , Chemnitz University of Technology , Chemnitz,Mathematics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Architecture — From Urban Design to Building Construction , Frankfurt University of Applied Sciences , Frankfurt am Main,Architecture,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Computational Methods in Civil Engineering , RWTH Aachen University , Aachen,Civil Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Functional Materials , Chemnitz University of Technology , Chemnitz,Chemistry,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Green Engineering and Sustainable Management , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Advanced Industrial Engineering , Rosenheim Technical University of Applied Sciences , Traunstein,Industrial Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Advanced Manufacturing , Chemnitz University of Technology , Chemnitz,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Advanced Materials Analysis , TU Bergakademie Freiberg , Freiberg,"Mining, Metallurgy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Quantum Physics (MSc) , University of Tübingen , Tübingen,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Signal Processing and Communications Engineering MSc , FAU Erlangen-Nürnberg , Erlangen,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Advanced Spectroscopy in Chemistry (ASC) , Leipzig University , Leipzig,Chemistry,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Advertising & Brand Design (BA) , SRH Berlin University of Applied Sciences , Berlin,Design,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,571866.75,7.0,42.0,3.5,,,
Master's degree , Advisory and Innovation Services in Agri-Food Systems (AdvisoryServices) , University of Hohenheim , Stuttgart,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Aerospace (MSc) , Technical University Munich , Garching b. München,Engineering in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , African Languages and Cultures , Universität Hamburg , Hamburg,Other / Non-European Languages and Cultural Studies,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," African Verbal and Visual Arts: Languages, Literatures, Media and Art ", University of Bayreuth , Bayreuth,Other / Non-European Languages and Cultural Studies,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree ," African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA) ", University of Bayreuth , Bayreuth,Languages and Cultural Studies in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Agribusiness BA , Rhine-Waal University of Applied Sciences , Kleve,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , Agricultural and Food Economics (AFECO) , University of Bonn , Bonn,"Agriculture, Forestry and Nutritional Sciences in general",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Agricultural Biosciences , Technical University Munich , Freising,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Agricultural Economics (AgEcon) , University of Hohenheim , Stuttgart,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Agricultural Sciences and Resource Management in the Tropics and Subtropics (ARTS) , University of Bonn , Bonn,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Agricultural Sciences in the Tropics and Subtropics (AgriTropics) , University of Hohenheim , Stuttgart,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Agricultural, Food and Environmental Policy Analysis (AFEPA) ", University of Bonn , Bonn,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Agriculture, Ecology & Societies (AGES) ", University of Kassel , Witzenhausen,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Agrobiotechnology , Justus Liebig University Giessen , Gießen,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , AI Engineering of Autonomous Systems , Technische Hochschule Ingolstadt , Ingolstadt,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree ," Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE) ", University of Stuttgart , Stuttgart,Mechanical Engineering / Process Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Air Transport and Logistics , Technische Universität Dresden , Dresden,"Transport Engineering, Nautical Science",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Albrecht Mendelssohn Bartholdy Graduate School of Law , Universität Hamburg , Hamburg,Law,German,,Winter semester,15 February 2024,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering , Saarland University , Saarbrücken,Engineering in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , American Studies , Leipzig University , Leipzig,"English Studies, American Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , American Studies (MA) , University of Tübingen , Tübingen,"English Studies, American Studies",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,4.0,24.0,2.0,,,
Master's degree ," Analytical Instruments, Measurement and Sensor Technology (AIMS) ", Coburg University of Applied Sciences and Arts , Coburg,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,472017.0,4.0,24.0,2.0,,,
Master's degree , Anglophone Modernities in Literature and Culture , University of Potsdam , Potsdam,Languages and Cultural Studies in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Animal Science , University of Hohenheim , Stuttgart,"Agriculture, Forestry and Nutritional Sciences in general",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Anthropology and Sociology (Master of Arts) , University of Konstanz , Konstanz,Social Science,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Anthropology of the Americas , University of Bonn , Bonn,Other / Non-European Languages and Cultural Studies,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Applied & Environmental Geoscience (AEG) , University of Tübingen , Tübingen,Earth Sciences (excluding Geography),English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,4.0,24.0,2.0,,,
Master's degree ," Applied AI for Digital Production Management, MEng ", Deggendorf Institute of Technology , Cham,Industrial Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Bachelor's degree , Applied Artificial Intelligence (AAI) , Rosenheim Technical University of Applied Sciences , Rosenheim,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , Applied Biology (BSc) , Hochschule Bonn-Rhein-Sieg , Rheinbach,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Applied Biotechnology , Ansbach University of Applied Sciences , Ansbach,"Mathematics, Natural Sciences in general",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Applied Computer Science (MSc) , University of Göttingen , Göttingen,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Applied Computer Science (MSc) , SRH University Heidelberg , Heidelberg,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,780643.5,4.0,24.0,2.0,,,
Master's degree , Applied Computer Science (MSc) , Schmalkalden University of Applied Sciences , Schmalkalden,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Applied Cultural and Translation Studies (German-Polish) , University of Potsdam , Potsdam,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Applied Data Science & Business Analytics (BSc) , International School of Management (ISM) , Stuttgart,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,689871.0,6.0,36.0,3.0,,,
Master's degree , Applied Data Science (MSc) , University of Göttingen , Göttingen,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Applied Data Science and Analytics (MSc) , SRH University Heidelberg , Heidelberg,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,780643.5,4.0,24.0,2.0,,,
Master's degree , Applied Economics , University of Wuppertal , Wuppertal,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Applied Geosciences , University of Bremen , Bremen,Earth Sciences (excluding Geography),English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Applied Geosciences – Applied Mineralogy and Crystallography (AMC) , RWTH Aachen University , Aachen,Earth Sciences (excluding Geography),English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Applied IT Security , Ruhr-Universität Bochum , Bochum,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,Yes,No,No,No,,350987.0,6.0,36.0,3.0,,,
Master's degree , Applied Linguistics , University of Bonn , Bonn,"English Studies, American Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Applied Mechatronic Systems (BEng) , SRH Berlin University of Applied Sciences , Berlin,Mechanical Engineering / Process Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,580944.0,7.0,42.0,3.5,,,
Bachelor's degree , Applied Media Communication German-French (Bachelor's) , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,"Library, Documentation and Media Studies",German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Applied Natural Sciences (MSc) , University of Koblenz , Koblenz,"Mathematics, Natural Sciences in general",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Applied Research in Computer Science (MSc) , Hof University of Applied Sciences , Hof,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Archaeological Sciences & Human Evolution (MSc) , University of Tübingen , Tübingen,Earth Sciences (excluding Geography),English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Archaeology , University of Tübingen , Tübingen,Civilisation Studies in the narrower sense,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course , Architecture in Berlin , Freie Universität Berlin , Berlin,Architecture,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,17/08/2024,20/07/2024,22/06/2024
Master's degree , Architecture – Design for the Built Environment (MA) , SRH University Heidelberg , Heidelberg,Architecture,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,617253.0,3.0,18.0,1.5,,,
Master's degree , Arqus Joint Master's Programme in European Studies , Leipzig University , Leipzig,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Artificial Intelligence , Brandenburg University of Technology Cottbus-Senftenberg , Cottbus,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Artificial Intelligence , Universität zu Lübeck , Lübeck,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,Yes,No,No,No,,,6.0,36.0,3.0,,,
Master's degree ," Artificial Intelligence (AI), MSc ", FAU Erlangen-Nürnberg , Erlangen,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Artificial Intelligence (MSc) , Technical University of Applied Sciences Würzburg-Schweinfurt (THWS) , Würzburg,Computer Science,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Artificial Intelligence and Data Science , Heinrich Heine University Düsseldorf , Düsseldorf,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Artificial Intelligence and Robotics (MSc) , Hof University of Applied Sciences , Hof,Computer Science,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree ," Artificial Intelligence for Industrial Applications, (MSc) full-time ", Ostbayerische Technische Hochschule Amberg-Weiden (OTH) , Amberg,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Short course , Artificial Intelligence in Industrial Applications | Summer School , RWTH Aachen University , Aachen,Computer Science,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,240849.7,,,,,01/04/2024,01/04/2024,01/04/2024
Master's degree , Arts and Cultural Management (MA) , Leuphana University Lüneburg , Lüneburg,Languages and Cultural Studies in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,293860.84,3.0,18.0,1.5,,,
Master's degree , Astro and Particle Physics (MSc) , University of Tübingen , Tübingen,"Physics, Astronomy",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Astrophysics , University of Bonn , Bonn,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Astrophysics , University of Potsdam , Potsdam,"Physics, Astronomy",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Atherosclerosis - Mechanisms and Networks of Novel Therapeutic Targets (CRC1123) , Ludwig-Maximilians-Universität München , München,Medicine in general,English,,Any time,"Open application rounds:
1 December - 31 Januar…",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Audio Design (BA) , SRH Berlin University of Applied Sciences , Berlin,"Music, Musicology",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,573682.2,7.0,42.0,3.5,,,
Short course , Augsburg Summer Programme on European and International Economic Law , University of Augsburg , Augsburg,Law,English,"English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,60515.0,,,,,19/07/2024,10/06/2024,30/04/2024
Master's degree , Automation & Control (A&C) , RPTU University of Kaiserslautern-Landau , Kaiserslautern,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Automation & IT (Master of Engineering) , TH Köln (University of Applied Sciences) , Köln,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Automation and Robotics , TU Dortmund University , Dortmund,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Automation and Safety , University of Duisburg-Essen , Duisburg,Engineering in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Short course , Automation and Simulation | Summer School , RWTH Aachen University , Aachen,Mechanical Engineering / Process Engineering,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,361879.7,,,,,01/04/2024,01/04/2024,01/04/2024
Bachelor's degree , Automation Technology and Industrial Internet of Things (BSc Electrical Engineering) , Hochschule Mannheim - University of Applied Sciences , Mannheim,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Short course , Automotive Engineering and Future Mobility | Summer School , RWTH Aachen University , Aachen,Mechanical Engineering / Process Engineering,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,361879.7,,,,,01/04/2024,01/04/2024,01/04/2024
Master's degree , Automotive Software Engineering , Chemnitz University of Technology , Chemnitz,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Automotive Systems , Esslingen University of Applied Sciences , Esslingen am Neckar,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,181545.0,3.0,18.0,1.5,,,
Master's degree , Autonomous Driving , Coburg University of Applied Sciences and Arts , Kronach,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Autonomous Systems (MSc) , Hochschule Bonn-Rhein-Sieg , Sankt Augustin,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Autonomous Vehicle Engineering , Technische Hochschule Ingolstadt , Ingolstadt,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Language course , Autumn Course: Communication in Everyday and Academic Life , University of Göttingen , Göttingen,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,Yes,No,No,54463.5,,,,,27/09/2024,03/09/2024,
Bachelor's degree , Aviation Management Bachelor of Arts , Worms University of Applied Sciences , Worms,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , BA Architecture , Berlin International University of Applied Sciences , Berlin,Architecture,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree , BA Business Administration | Human Resource Management & Leadership , Berlin International University of Applied Sciences , Berlin,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA Business Administration | International Management & Marketing , Berlin International University of Applied Sciences , Berlin,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA Data Science & Business , Berlin International University of Applied Sciences , Berlin,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA European Cultures and Society (EUCS) , Europa-Universität Flensburg , Flensburg,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA German Studies in Cultural Comparison , Heidelberg University , Heidelberg,"German Language and Literature (German, Germanic Languages except English)",German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA Graphic Design & Visual Communication , Berlin International University of Applied Sciences , Berlin,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA in Artistic Practice and Society ," Bard College Berlin, a Liberal Arts University ", Berlin,"Art, Art Theory in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree ," BA in Economics, Politics, and Social Thought "," Bard College Berlin, a Liberal Arts University ", Berlin,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree ," BA in Humanities, the Arts, and Social Thought "," Bard College Berlin, a Liberal Arts University ", Berlin,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
